content,facets,schema_id,source_ref,workspace_id
Résidence Les Tilleuls,"{""name"":""Résidence Les Tilleuls"",""entity_type"":""building"",""entity_id"":""1"",""confidence"":1,""address"":""12 rue des Tilleuls, 5000 Namur"",""quota_basis"":1000,""source"":""fake_data"",""ontology"":""core""}",immeuble:core:building,building:building:1,immeuble
Résidence Les Érables,"{""name"":""Résidence Les Érables"",""entity_type"":""building"",""entity_id"":""2"",""confidence"":1,""address"":""8 avenue des Érables, 1300 Wavre"",""quota_basis"":1000,""source"":""fake_data"",""ontology"":""core""}",immeuble:core:building,building:building:2,immeuble
Tilleuls Bloc A,"{""name"":""Tilleuls Bloc A"",""entity_type"":""block"",""entity_id"":""10"",""confidence"":1,""building_id"":1,""building"":""Résidence Les Tilleuls"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:block,block:block:10,immeuble
Érables Bloc A,"{""name"":""Érables Bloc A"",""entity_type"":""block"",""entity_id"":""20"",""confidence"":1,""building_id"":2,""building"":""Résidence Les Érables"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:block,block:block:20,immeuble
Érables Bloc B,"{""name"":""Érables Bloc B"",""entity_type"":""block"",""entity_id"":""21"",""confidence"":1,""building_id"":2,""building"":""Résidence Les Érables"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:block,block:block:21,immeuble
Tilleuls Hall commun,"{""name"":""Tilleuls Hall commun"",""entity_type"":""shared_space"",""entity_id"":""30"",""confidence"":1,""building_id"":1,""category"":""circulation"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:shared_space,shared_space:shared_space:30,immeuble
Tilleuls Buanderie commune,"{""name"":""Tilleuls Buanderie commune"",""entity_type"":""shared_space"",""entity_id"":""31"",""confidence"":1,""building_id"":1,""category"":""laundry"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:shared_space,shared_space:shared_space:31,immeuble
Tilleuls Jardin commun,"{""name"":""Tilleuls Jardin commun"",""entity_type"":""shared_space"",""entity_id"":""32"",""confidence"":1,""building_id"":1,""category"":""garden"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:shared_space,shared_space:shared_space:32,immeuble
Érables Jardin commun,"{""name"":""Érables Jardin commun"",""entity_type"":""shared_space"",""entity_id"":""33"",""confidence"":1,""building_id"":2,""category"":""garden"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:shared_space,shared_space:shared_space:33,immeuble
Érables Local vélos,"{""name"":""Érables Local vélos"",""entity_type"":""shared_space"",""entity_id"":""34"",""confidence"":1,""building_id"":2,""category"":""bike_room"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:shared_space,shared_space:shared_space:34,immeuble
Érables Chaufferie,"{""name"":""Érables Chaufferie"",""entity_type"":""shared_space"",""entity_id"":""35"",""confidence"":1,""building_id"":2,""category"":""technical"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:shared_space,shared_space:shared_space:35,immeuble
Tilleuls Machine à laver 1,"{""name"":""Tilleuls Machine à laver 1"",""entity_type"":""shared_equipment"",""entity_id"":""40"",""confidence"":1,""building_id"":1,""equipment_type"":""washing_machine"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:shared_equipment,shared_equipment:shared_equipment:40,immeuble
Tilleuls Sèche-linge 1,"{""name"":""Tilleuls Sèche-linge 1"",""entity_type"":""shared_equipment"",""entity_id"":""41"",""confidence"":1,""building_id"":1,""equipment_type"":""dryer"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:shared_equipment,shared_equipment:shared_equipment:41,immeuble
Érables Machine à laver A,"{""name"":""Érables Machine à laver A"",""entity_type"":""shared_equipment"",""entity_id"":""42"",""confidence"":1,""building_id"":2,""equipment_type"":""washing_machine"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:shared_equipment,shared_equipment:shared_equipment:42,immeuble
Érables Machine à laver B,"{""name"":""Érables Machine à laver B"",""entity_type"":""shared_equipment"",""entity_id"":""43"",""confidence"":1,""building_id"":2,""equipment_type"":""washing_machine"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:shared_equipment,shared_equipment:shared_equipment:43,immeuble
Tilleuls Appartement A1,"{""name"":""Tilleuls Appartement A1"",""entity_type"":""unit"",""entity_id"":""100"",""confidence"":1,""building_id"":1,""building"":""Résidence Les Tilleuls"",""block_id"":10,""block"":""A"",""floor"":0,""lot"":""A1"",""door_label"":""A-00-01"",""bedrooms"":2,""tantiemes"":190,""quota_basis"":1000,""usage_status"":""owner_occupied"",""external_id"":""dtT-kEOEnk5F1_NmLXhIL"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:unit,unit:unit:100,immeuble
